record_id,performance_month,quarter,fiscal_year,zone,cluster,branch,wealth_manager_id,wealth_manager_name,employee_grade,product_category,product_name,source_system,target_amount,achieved_amount,revenue_amount,customer_count,active_clients,data_quality_issue,meeting_context
REC001667,2026-06-30,Q2,2026,"Kolkata South",Garia,Naktala,WM058,"Rahul Gupta","Senior Manager",Liability,FD,"Deposit RA",7198188.00,6773084.51,16227.58,20,326,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003326,2026-05-31,Q2,2026,"Kolkata East","Salt Lake","City Centre",WM021,"Subhojit Chatterjee","Senior Manager",Fee,Insurance,"LI RA",406958.00,299604.23,45404.92,33,244,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003992,2026-05-31,Q2,2026,"Kolkata North","Lake Town","VIP Road",WM033,"Ananya Ali","Senior Manager",Asset,"Home Loan","Loan RA",8214194.00,5662699.66,62360.02,26,216,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001890,2026-05-31,Q2,2026,"Kolkata East",Rajarhat,Teghoria,WM041,"Priya Jain","Deputy Manager",Investment,Demat,"Demat RA",50.00,40.00,30826.98,3,210,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000353,2026-04-30,Q2,2026,"Kolkata South",Tollygunge,"Golf Green",WM062,"Anirban Singh","Senior Manager",Fee,Cards,"Cards RA",101.00,88.00,101738.53,20,176,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001441,2026-08-31,Q3,2026,"Kolkata South",Gariahat,"Brabourne Road",WM020,"Rohan Ali",Manager,Fee,Cards,"Cards RA",42.00,33.00,22357.24,10,307,WRONG_ZONE_CLUSTER_MAPPING,"Q2-Q3 review for Q4 target achievement planning"
REC002105,2026-06-30,Q2,2026,"Kolkata South",Behala,Thakurpukur,WM050,"Subhojit Ghosh","Senior Manager",Asset,"Home Loan","Loan RA",15586785.00,15778807.45,104850.29,2,288,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002247,2026-08-31,Q3,2026,"Kolkata East",Rajarhat,"Chinar Park",WM052,"Subhojit Sen","Deputy Manager",Fee,Insurance,"LI RA",419137.00,380734.89,57274.50,22,244,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004533,2026-04-30,Q2,2026,"Greater Kolkata",Serampore,Uttarpara,WM084,"Rohan Sen","Senior Manager",Fee,Insurance,"LI RA",873039.00,594862.53,91777.18,16,133,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001999,2026-04-30,Q2,2026,"Kolkata South",Gariahat,Ballygunge,WM070,"Ananya Saha","Senior Manager",Fee,Cards,"Cards RA",26.00,21.00,16310.70,4,281,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000387,2026-07-31,Q3,2026,"Kolkata North","Lake Town","VIP Road",WM011,"Rahul Chakraborty","Senior Manager",Asset,"Personal Loan","Loan RA",3203482.00,3203351.95,20913.06,32,89,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001597,2026-05-31,Q2,2026,"Kolkata East",Rajarhat,"Bangur Avenue",WM030,"Subhojit Banerjee","Senior Manager",Investment,"Mutual Fund","Investment RA",6063877.00,4575965.06,31429.15,16,157,WRONG_ZONE_CLUSTER_MAPPING,"Q2-Q3 review for Q4 target achievement planning"
REC000653,2026-05-31,Q2,2026,"Kolkata East","Salt Lake","Salt Lake Sector 1",WM095,"Sohini Saha","Deputy Manager",Fee,Insurance,"LI RA",543194.00,435666.09,75260.43,10,82,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004976,2026-06-30,Q2,2026,"Kolkata North","BT Road","BT Road Main",WM078,"Rahul Khan",Manager,Fee,Forex,"Forex RA",341207.00,311486.12,9556.51,11,323,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003903,2026-07-31,Q3,2026,"Kolkata Central",Dalhousie,Lalbazar,WM060,"Rahul Dutta","Senior Manager",Fee,Forex,"Forex RA",472502.00,359084.64,3953.84,25,252,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004175,2026-09-30,Q3,2026,"Greater Kolkata",Serampore,Rishra,WM073,"Ishaan Khan","Deputy Manager",Investment,Demat,"Demat RA",34.00,30.00,19425.12,19,124,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001696,2026-04-30,Q2,2026,"Kolkata East","Salt Lake",Karunamoyee,WM099,"Aarav Roy","Deputy Manager",Asset,"Personal Loan","Loan RA",3998716.00,3741295.83,30816.08,30,258,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001331,2026-05-31,Q2,2026,"Kolkata South",Tollygunge,"Tollygunge Main",WM098,"Moumita Singh","Senior Manager",Liability,"Deposit Mobilization","Deposit RA",14754003.00,13274453.22,28042.99,51,229,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004526,2026-04-30,Q2,2026,"Greater Kolkata",Serampore,Konnagar,WM091,"Arjun Saha","Deputy Manager",Liability,FD,"Deposit RA",5126335.00,4133156.99,15026.52,65,242,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004276,2026-07-31,Q3,2026,"Kolkata South",Behala,Sakherbazar,WM005,"Poulami Ali","Deputy Manager",Liability,"Deposit Mobilization","Deposit RA",7746079.00,6388488.73,19071.34,13,297,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003397,2026-09-30,Q3,2026,"Greater Kolkata",Serampore,Uttarpara,WM084,"Rohan Sen","Senior Manager",Asset,"Personal Loan","Loan RA",1082720.00,815370.51,5206.97,23,294,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000526,2026-07-31,Q3,2026,"Kolkata Central",Esplanade,"Esplanade Main",WM065,"Aditi Roy","Deputy Manager",Liability,"Deposit Mobilization","Deposit RA",8262755.00,7663179.03,20521.14,67,282,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002698,2026-06-30,Q2,2026,"Kolkata East","New Town",Ecospace,WM066,"Aditi Sen","Deputy Manager",Asset,"Personal Loan","Loan RA",2396202.00,1744711.57,11090.28,28,176,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003252,2026-04-30,Q2,2026,"Kolkata South",Behala,"Behala Main",WM026,"Sohini Pal","Senior Manager",Asset,"Personal Loan","Loan RA",0.00,2890119.91,20589.61,3,300,NULL_AMOUNT,"Q2-Q3 review for Q4 target achievement planning"
REC000600,2026-06-30,Q2,2026,"Kolkata Central",Dalhousie,"Brabourne Road",WM020,"Rohan Ali",Manager,Investment,Demat,"Demat RA",27.00,19.00,5832.27,2,153,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001191,2026-04-30,Q2,2026,"Greater Kolkata",Serampore,Uttarpara,WM084,"Rohan Sen","Senior Manager",Fee,Insurance,"LI RA",320005.00,229377.73,29973.23,29,242,INCORRECT_PRODUCT_NAME,"Q2-Q3 review for Q4 target achievement planning"
REC005126,2026-09-30,Q3,2026,"Kolkata East","Salt Lake","City Centre",WM021,"Subhojit Chatterjee","Senior Manager",Liability,FD,"Deposit RA",8823798.00,8065110.42,28322.11,9,94,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003700,2026-06-30,Q2,2026,"Greater Kolkata",Serampore,Rishra,WM047,"Anirban Singh",Manager,Asset,"Business Loan","Loan RA",7037598.00,4860500.39,50172.25,23,262,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004692,2026-05-31,Q2,2026,"Kolkata Central",Dalhousie,"BBD Bag",WM016,"Subhojit Bose","Deputy Manager",Investment,"Mutual Fund","Investment RA",7259360.00,6390205.72,50108.11,34,216,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000155,2026-07-31,Q3,2026,"Kolkata East","Salt Lake",Karunamoyee,WM099,"Aarav Roy","Deputy Manager",Investment,"Mutual Fund","Investment RA",1618665.00,1650219.95,10148.56,34,256,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004909,2026-05-31,Q2,2026,"Kolkata Central",Dalhousie,Lalbazar,WM035,"Rahul Singh","Senior Manager",Fee,Insurance,"LI RA",648538.00,524974.17,80262.58,14,316,Clean,"Q2-Q3 review for Q4 target achievement planning"
